"","X","ï..FIPS","State","County","PCT_LACCESS_POP15","GROCPTH14","SNAPSPTH16","FFRPTH14","FSRPTH14","PCT_SNAP16","METRO13","MEDHHINC15","POVRATE15","PCT_DIABETES_ADULTS13","PCT_OBESE_ADULTS13","X2010.Census.Population","POV_QUARTILE"
"66",1848,36039,"NY","Greene",21.2536571,0.271019659,1.112093402,0.813058978,1.480184293,15.01708585,0,48144,16.4,9.5,27.9,49221,1
"67",2677,48307,"TX","McCulloch",32.68550247,0.121966093,1.101321586,0.975728747,1.097694841,13.51433657,0,39900,18.6,11,28.5,8283,1
"68",2217,41017,"OR","Deschutes",15.60008701,0.211282485,0.571314584,0.78644036,1.144446792,17.72200324,1,56911,13.4,7.8,24.1,157733,1
"69",730,18065,"IN","Henry",3.692386759,0.163281968,0.930868421,0.510256149,0.367384427,10.90555134,0,47954,14.7,13.4,36.7,49462,1
"70",2857,51075,"VA","Goochland",15.24743618,0.091174325,0.522028116,0.319110139,0.774981765,9.731570193,1,86257,7.4,11.5,28.4,21717,1
"71",1960,37139,"NC","Pasquotank",25.07247486,0.150803026,1.074486588,0.779148968,0.955085832,15.44057095,0,42171,19.1,14.4,35.4,40661,1
"72",165,5107,"AR","Phillips",50.37733644,0.351229303,1.646903821,0.351229303,0.451580532,13.64746166,0,28224,37.3,16.7,45.5,21757,1
"73",2077,39067,"OH","Harrison",2.404541473,0.257350576,1.116047124,0.450363508,0.900727015,13.7918164,0,44221,15.5,13.2,30.3,15864,1
"74",2302,42115,"PA","Susquehanna",5.012512663,0.190839695,0.422152611,0.405534351,0.596374046,14.55564736,0,50141,12.6,10.1,30.4,43356,1
"75",560,16017,"ID","Bonner",20.04429764,0.288565589,0.538759325,0.577131177,0.985932428,10.90800528,0,44072,15.8,7.6,24.7,40877,1
"76",2325,45017,"SC","Calhoun",0.851070836,0.067213335,1.165855637,0.268853341,0.13442667,15.46667193,1,41277,21.3,18.6,35.3,15175,1
"77",1809,35025,"NM","Lea",16.12382998,0.128573265,0.911602078,0.628580408,0.542864898,22.76369944,0,54686,14.3,8,33.8,64727,1
"78",1662,31015,"NE","Boyd",100.0000001,0.983767831,1.513622603,0,0.491883915,9.12645062,0,42539,12.2,13.9,34.2,2099,1
"79",112,5001,"AR","Arkansas",37.77124277,0.215123158,1.116357381,0.591588685,0.645369474,13.64746166,0,41179,20.7,12.9,33.8,19019,1
"80",68,2013,"AK","Aleutians East",70.13690004,1.19047619,1.516990291,0.297619048,0.297619048,11.55515478,0,57015,17.4,7.6,33.4,3141,1
"81",1219,25003,"MA","Berkshire",24.32198418,0.264149478,0.742036569,0.916754069,1.67035699,11.36341916,1,50646,14.3,9.7,23.7,131219,1
"82",1183,23011,"ME","Kennebec",7.102191234,0.181650043,1.09757345,0.668802431,0.792654733,14.32685007,0,50408,13.1,10.8,30.9,122151,1
"83",1092,21197,"KY","Powell",3.065554669,0.321698568,1.591106056,0.965095705,0.241273926,14.4939772,0,34510,26,13.4,36.3,12613,1
"84",2188,40113,"OK","Osage",31.36792738,0.0416832,0.740841456,0.437673246,0.291782164,15.51297406,1,46093,16.3,12.4,34.5,47472,1
"85",1055,21123,"KY","Larue",1.346809524,0.211565585,0.898600076,0.564174894,0.352609309,14.4939772,1,40202,18.1,13.7,33.6,14193,1
"86",2159,40055,"OK","Greer",8.829673264,0.325150382,0.805824164,0.162575191,0.812875955,15.51297406,0,36495,23.7,12.9,32.7,6239,1
"87",2693,48339,"TX","Montgomery",20.68463575,0.10212989,0.481538815,0.59158257,0.549189031,13.51433657,1,72428,10.1,10.1,24.5,455746,1
"88",761,18127,"IN","Porter",31.88874083,0.071823601,0.53588492,0.664368311,0.700280112,10.90555134,1,66070,11.6,9.4,31.9,164343,1
"89",2829,51017,"VA","Bath",22.24413621,0.219154065,0.726094727,0.219154065,0.876616261,9.731570193,0,44401,10.3,10.9,28.7,4731,1
"90",1605,30013,"MT","Cascade",25.45244276,0.145730108,0.663567977,0.83794812,0.813659769,11.29944749,1,45597,14.4,9.1,28.2,81327,1
"91",750,18105,"IN","Monroe",14.56989087,0.139529367,0.48569491,0.774387989,0.851129141,10.90555134,1,45341,23.5,7.7,22.1,137974,1
"92",2887,51139,"VA","Page",4.023314355,0.251593425,0.736309574,0.712848038,0.545119088,9.731570193,0,43313,15,10.9,28.3,24042,1
"93",987,20197,"KS","Wabaunsee",41.78249507,0.42722871,0.737677163,0.28481914,0.56963828,8.597012543,1,57339,8.3,9.7,30.9,7053,1
"94",1584,29203,"MO","Shannon",16.58517756,0.240124865,0.816193275,0.120062432,0.720374595,12.8651075,0,28171,23.9,12.2,29.7,8441,1
"95",1874,36091,"NY","Saratoga",27.23255121,0.115596143,0.673117437,0.742482916,0.960337185,15.01708585,1,75029,6.4,8.5,26.7,219607,1
"96",2095,39103,"OH","Medina",24.566229,0.119298525,0.561445878,0.670344091,0.53400292,13.7918164,1,70576,7,9.6,29.1,172332,1
"97",697,17203,"IL","Woodford",11.73007753,0.153112001,0.734542667,0.484854671,0.637966673,14.36481192,1,68233,7,9.6,30.8,38664,1
"98",2707,48367,"TX","Parker",17.56199592,0.064954045,0.417822277,0.682017473,0.511513104,13.51433657,1,67545,9.4,10.5,29,116927,1
"99",2736,48425,"TX","Somervell",0,0.345065562,0.588793922,0.920174833,0.805152979,13.51433657,1,58040,12.1,10.7,27.6,8490,1
"100",2860,51081,"VA","Greensville",8.235753405,0.085609109,0.384418247,0.342436435,0.085609109,9.731570193,0,40252,27.9,14.1,32.7,12243,1
"101",1637,30077,"MT","Powell",19.55018049,0.289477493,0.729075532,0.43421624,1.447387466,11.29944749,0,42755,18.1,10.1,28,7027,1
"102",2691,48335,"TX","Mitchell",29.78648983,0.110180696,0.745412844,0.550903482,0.661084178,13.51433657,0,41977,19.7,8.9,26.6,9403,1
"103",3030,54073,"WV","Pleasants",7.130367539,0.261985853,1.009967944,0.654964632,0.392978779,19.421201,0,48308,15.4,13.7,38.8,8719,1
"104",2938,51690,"VA","Martinsville",22.80310088,0.291736562,1.326391471,1.677485231,1.239880388,9.731570193,0,32541,23.7,12.8,33.5,180719,1
"105",2066,39045,"OH","Fairfield",21.05713913,0.093096867,0.481114745,0.658327847,0.578530532,13.7918164,1,61450,9.1,11.1,32.6,146156,1
"106",98,4003,"AZ","Cochise",42.04051833,0.149080409,0.731493997,0.478626577,0.753248384,13.52769291,1,43451,16.9,10.3,26,131346,1
"107",2455,47053,"TN","Gibson",12.15838088,0.323415265,1.184186555,0.54576326,0.54576326,16.30435077,0,40789,15.7,13.1,32.3,49683,1
"108",1246,26029,"MI","Charlevoix",5.472644227,0.306266988,1.002903645,0.65081735,1.454768194,14.74092241,0,48267,11.6,10,28.6,25949,1
